graph,n,original_edges,spanner_edges,k,stretch,selected_edges,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
random_tree_n150_seed212,150,149,149,1,1.0,149,0.0,7847.0,7847.0,7847.0,1.0,0,1,1.0,1.0,1.0,22500.0,0.006622,,,tree,1.0,22500.0,0.006622,
random_tree_n150_seed212,150,149,149,2,3.0,149,0.0,7847.0,7847.0,7847.0,1.0,0,1,1.0,3.0,0.333333,1837.117307,0.081105,298.0,0.5,tree,1.0,1837.117307,0.081105,0.5
random_tree_n150_seed212,150,149,149,3,5.0,149,0.0,7847.0,7847.0,7847.0,1.0,0,1,1.0,5.0,0.2,796.993927,0.186952,223.5,0.666667,tree,1.0,796.993927,0.186952,0.666667
random_tree_n150_seed212,150,149,149,4,7.0,149,0.0,7847.0,7847.0,7847.0,1.0,0,1,1.0,7.0,0.142857,524.945327,0.283839,198.666667,0.75,tree,1.0,524.945327,0.283839,0.75
random_tree_n150_seed212,150,149,149,5,9.0,149,0.0,7847.0,7847.0,7847.0,1.0,0,0,1.0,9.0,0.111111,408.610489,0.36465,186.25,0.8,tree,1.0,408.610489,0.36465,0.8
complete_n30_seed220,30,435,64,1,1.0,64,85.287356,21168.0,490.0,119.0,1.0,0,2,4.117647,1.0,1.0,900.0,0.071111,,,complete,0.1471264367816092,900.0,0.071111,
complete_n30_seed220,30,435,32,2,3.0,32,92.643678,21168.0,142.0,119.0,3.0,0,1,1.193277,3.0,1.0,164.316767,0.194746,,,complete,0.0735632183908046,164.316767,0.194746,
complete_n30_seed220,30,435,29,3,5.0,29,93.333333,21168.0,119.0,119.0,5.0,0,1,1.0,5.0,1.0,93.216975,0.311102,,,complete,0.06666666666666667,93.216975,0.311102,
complete_n30_seed220,30,435,29,4,7.0,29,93.333333,21168.0,119.0,119.0,5.0,0,1,1.0,7.0,0.714286,70.21042,0.413044,,,complete,0.06666666666666667,70.21042,0.413044,
complete_n30_seed220,30,435,29,5,9.0,29,93.333333,21168.0,119.0,119.0,5.0,0,1,1.0,9.0,0.555556,59.230515,0.489612,,,complete,0.06666666666666667,59.230515,0.489612,
complete_n40_seed221,40,780,90,1,1.0,90,88.461538,39011.0,644.0,143.0,1.0,0,5,4.503497,1.0,1.0,1600.0,0.05625,,,complete,0.11538461538461539,1600.0,0.05625,
complete_n40_seed221,40,780,45,2,3.0,45,94.230769,39011.0,169.0,143.0,2.777778,0,3,1.181818,3.0,0.925926,252.982213,0.177878,,,complete,0.057692307692307696,252.982213,0.177878,
complete_n40_seed221,40,780,40,3,5.0,40,94.871795,39011.0,147.0,143.0,4.8,0,2,1.027972,5.0,0.96,136.798076,0.292402,,,complete,0.05128205128205128,136.798076,0.292402,
complete_n40_seed221,40,780,40,4,7.0,40,94.871795,39011.0,148.0,143.0,5.75,0,2,1.034965,7.0,0.821429,100.594674,0.397635,,,complete,0.05128205128205128,100.594674,0.397635,
complete_n40_seed221,40,780,39,5,9.0,39,95.0,39011.0,143.0,143.0,7.4,0,1,1.0,9.0,0.822222,83.651164,0.466222,,,complete,0.05,83.651164,0.466222,
complete_n50_seed222,50,1225,123,1,1.0,123,89.959184,60759.0,619.0,123.0,1.0,0,7,5.03252,1.0,1.0,2500.0,0.0492,,,complete,0.10040816326530612,2500.0,0.0492,
complete_n50_seed222,50,1225,59,2,3.0,59,95.183673,60759.0,157.0,123.0,3.0,0,5,1.276423,3.0,1.0,353.553391,0.166877,,,complete,0.04816326530612245,353.553391,0.166877,
complete_n50_seed222,50,1225,50,3,5.0,50,95.918367,60759.0,126.0,123.0,5.0,0,3,1.02439,5.0,1.0,184.201575,0.271442,,,complete,0.04081632653061224,184.201575,0.271442,
complete_n50_seed222,50,1225,50,4,7.0,50,95.918367,60759.0,127.0,123.0,7.0,0,3,1.03252,7.0,1.0,132.957397,0.37606,,,complete,0.04081632653061224,132.957397,0.37606,
complete_n50_seed222,50,1225,49,5,9.0,49,96.0,60759.0,123.0,123.0,7.5,0,4,1.0,9.0,0.833333,109.336207,0.448159,,,complete,0.04,109.336207,0.448159,
complete_unit_n20,20,190,190,1,1.0,190,0.0,190.0,190.0,19.0,1.0,0,0,10.0,1.0,1.0,400.0,0.475,,,complete_unit,1.0,400.0,0.475,
