graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,edge_density,er_probability,is_large_random_er,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
random_connected_er_p010_n400_p0.100_rep3_seed44002,400,8266,411,5,9.0,95.027825,418510.0,1346.0,1290.0,8.6,0,316,1.043411,9.0,0.955556,1325.781607,0.310006,,,random_er,0.10358395989974938,0.1,True,0.049721751754173725,1325.781607,0.310006,
random_connected_er_p020_n200_p0.200_rep1_seed25000,200,4097,678,1,1.0,83.451306,204919.0,6247.0,689.0,1.0,0,138,9.066763,1.0,1.0,40000.0,0.01695,,,random_er,0.20587939698492463,0.2,True,0.16548694166463265,40000.0,0.01695,
random_connected_er_p020_n200_p0.200_rep1_seed25000,200,4097,276,2,3.0,93.263363,204919.0,1177.0,689.0,3.0,0,92,1.708273,3.0,1.0,2828.427125,0.097581,,,random_er,0.20587939698492463,0.2,True,0.06736636563339028,2828.427125,0.097581,
random_connected_er_p020_n200_p0.200_rep1_seed25000,200,4097,220,3,5.0,94.630217,204919.0,803.0,689.0,5.0,0,81,1.165457,5.0,1.0,1169.607095,0.188097,,,random_er,0.20587939698492463,0.2,True,0.053697827678789355,1169.607095,0.188097,
random_connected_er_p020_n200_p0.200_rep1_seed25000,200,4097,207,4,7.0,94.947523,204919.0,726.0,689.0,6.6,0,77,1.053701,7.0,0.942857,752.120619,0.275222,,,random_er,0.20587939698492463,0.2,True,0.050524774225042715,752.120619,0.275222,
random_connected_er_p020_n200_p0.200_rep1_seed25000,200,4097,201,5,9.0,95.093971,204919.0,698.0,689.0,9.0,0,71,1.013062,9.0,1.0,577.079962,0.348305,,,random_er,0.20587939698492463,0.2,True,0.049060288015621185,577.079962,0.348305,
random_connected_er_p020_n200_p0.200_rep2_seed25001,200,4138,685,1,1.0,83.446109,210059.0,6547.0,682.0,1.0,0,140,9.599707,1.0,1.0,40000.0,0.017125,,,random_er,0.2079396984924623,0.2,True,0.16553890768487192,40000.0,0.017125,
random_connected_er_p020_n200_p0.200_rep2_seed25001,200,4138,265,2,3.0,93.59594,210059.0,1071.0,682.0,3.0,0,92,1.570381,3.0,1.0,2828.427125,0.093692,,,random_er,0.2079396984924623,0.2,True,0.0640405993233446,2828.427125,0.093692,
random_connected_er_p020_n200_p0.200_rep2_seed25001,200,4138,218,3,5.0,94.731754,210059.0,783.0,682.0,5.0,0,82,1.148094,5.0,1.0,1169.607095,0.186387,,,random_er,0.2079396984924623,0.2,True,0.05268245529241179,1169.607095,0.186387,
random_connected_er_p020_n200_p0.200_rep2_seed25001,200,4138,208,4,7.0,94.973417,210059.0,723.0,682.0,7.0,0,77,1.060117,7.0,1.0,752.120619,0.276551,,,random_er,0.2079396984924623,0.2,True,0.05026582890285162,752.120619,0.276551,
