graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,207,4,7.000000,90.322581,109147.000000,1263.000000,1183.000000,6.875000,0,38,1.067625,7.000000,0.982143,752.120619,0.275222,NaN,NaN
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,200,5,9.000000,90.649836,109147.000000,1192.000000,1183.000000,8.700000,0,36,1.007608,9.000000,0.966667,577.079962,0.346572,NaN,NaN
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,603,1,1.000000,72.788809,111914.000000,9382.000000,1105.000000,1.000000,0,70,8.490498,1.000000,1.000000,40000.000000,0.015075,NaN,NaN
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,253,2,3.000000,88.583032,111914.000000,1649.000000,1105.000000,3.000000,0,47,1.492308,3.000000,1.000000,2828.427125,0.089449,NaN,NaN
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,215,3,5.000000,90.297834,111914.000000,1253.000000,1105.000000,5.000000,0,43,1.133937,5.000000,1.000000,1169.607095,0.183822,NaN,NaN
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,206,4,7.000000,90.703971,111914.000000,1161.000000,1105.000000,6.700000,0,40,1.050679,7.000000,0.957143,752.120619,0.273892,NaN,NaN
random_connected_er_p010_n200_p0.100_rep2_seed24001,200,2216,202,5,9.000000,90.884477,111914.000000,1128.000000,1105.000000,8.777778,0,39,1.020814,9.000000,0.975309,577.079962,0.350038,NaN,NaN
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,637,1,1.000000,70.233645,110847.000000,11122.000000,1243.000000,1.000000,0,66,8.947707,1.000000,1.000000,40000.000000,0.015925,NaN,NaN
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,260,2,3.000000,87.850467,110847.000000,1976.000000,1243.000000,3.000000,0,47,1.589702,3.000000,1.000000,2828.427125,0.091924,NaN,NaN
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,222,3,5.000000,89.626168,110847.000000,1485.000000,1243.000000,5.000000,0,42,1.194690,5.000000,1.000000,1169.607095,0.189807,NaN,NaN
random_connected_er_p010_n200_p0.100_rep3_seed24002,200,2140,207,4,7.000000,90.327103,110847.000000,1310.000000,1243.000000,6.583333,0,38,1.053902,7.000000,0.940476,752.120619,0.275222,NaN,NaN
